10,10,1,0,0,10000
20,20,2,6283,139,3578
30,30,3,8575,186,1239
40,40,4,7012,909,2079
50,50,5,8007,725,1268
60,60,6,8898,506,596
70,70,7,7890,1079,1031
80,80,8,8337,991,672
90,90,9,8893,755,352
100,100,10,8055,1336,609
110,110,11,8399,1163,438
125,125,12,8757,975,268
150,150,15,8698,1149,153
175,175,17,8184,1633,183
200,200,20,8149,1715,136
225,225,22,7969,1918,113
300,300,30,8081,1878,41
400,400,40,7541,2442,17
500,500,50,7351,2644,5
600,600,60,7313,2685,2
700,700,70,7010,2990,0
800,800,80,6878,3122,0
900,900,90,6894,3105,1
1000,1000,100,6710,3290,0
